imdb_id,movie_title,genre,imdb_rating,vote_count,release_year,release_month,runtime,actors,director,worldwide_gross,origin_Language,origin_Country
tt0172495,Gladiator,action,8.5,1743461,2000,5,155,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",Ridley Scott,465516248,English,United States
tt0212346,Miss Congeniality,action,6.3,238741,2000,12,109,"['Sandra Bullock', 'Michael Caine', 'Benjamin Bratt']",Donald Petrie,212742720,English,United States
tt0187393,The Patriot,action,7.2,302532,2000,6,165,"['Mel Gibson', 'Heath Ledger', 'Joely Richardson']",Roland Emmerich,215294342,English,Germany
tt0120755,Mission: Impossible II,action,6.1,389300,2000,5,123,"['Tom Cruise', 'Dougray Scott', 'Thandiwe Newton']",John Woo,546388108,English,United States
tt0187078,Gone in Sixty Seconds,action,6.5,301954,2000,6,118,"['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi']",Dominic Sena,237202299,English,United States
tt0141926,U-571,action,6.6,89543,2000,4,116,"['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel']",Jonathan Mostow,127666415,English,France
tt0190374,Dungeons & Dragons,action,3.7,37044,2000,12,107,"['Justin Whalin', 'Jeremy Irons', 'Zoe McLellan']",Courtney Solomon,33978694,English,United States
tt0177971,The Perfect Storm,action,6.5,182931,2000,6,130,"['George Clooney', 'Mark Wahlberg', 'John C. Reilly']",Wolfgang Petersen,328718434,English,United States
tt0185183,Battlefield Earth,action,2.5,84367,2000,5,117,"['John Travolta', 'Forest Whitaker', 'Barry Pepper']",Roger Christian,29725663,English,United States
tt0216651,Vampire Hunter D: Bloodlust,action,7.6,38045,2000,10,103,"['Andrew Philpot', 'John Rafter Lee', 'Pamela Adlon']",Yoshiaki Kawajiri,152239,Japanese,Japan
tt0208003,Big Momma's House,action,5.2,93002,2000,6,99,"['Martin Lawrence', 'Nia Long', 'Paul Giamatti']",Raja Gosnell,173959438,English,Germany
tt0260991,Gongdong gyeongbi guyeok JSA,action,7.7,36031,2000,9,110,"['Lee Yeong-ae', 'Lee Byung-hun', 'Song Kang-ho']",Park Chan-wook,124861,Korean,South Korea
tt0202677,The Way of the Gun,action,6.6,35958,2000,9,119,"['Ryan Phillippe', 'Benicio Del Toro', 'Juliette Lewis']",Christopher McQuarrie,13200972,English,United States
tt0228750,Proof of Life,action,6.3,59880,2000,12,135,"['Meg Ryan', 'Russell Crowe', 'David Morse']",Taylor Hackford,62761005,English,United States
tt0160009,The Art of War,action,5.7,31502,2000,8,117,"['Wesley Snipes', 'Donald Sutherland', 'Maury Chaykin']",Christian Duguay,40400425,English,United States
tt0235679,Gekijôban Poketto Monsutâ Kesshôtô no Teiô Entei,action,5.8,15822,2000,7,93,"['Veronica Taylor', 'Eric Stuart', 'Rica Matsumoto']",Kunihiko Yuyama,68411275,Japanese,Japan
tt0259974,Digimon: The Movie,action,6.0,8175,2000,10,82,"['Lara Jill Miller', 'Joshua Seth', 'Bob Papenbrook']",Bob Buchholz,16643191,English,Japan
tt0181836,The Specials,action,5.7,2611,2000,9,82,"['Rob Lowe', 'Thomas Haden Church', 'Paget Brewster']",Craig Mazin,13276,English,United States
tt0270933,Escaflowne,action,6.6,3914,2000,6,98,"[""Shin'ichirô Miki"", 'Jôji Nakata', 'Maaya Sakamoto']",Kazuki Akane,94060,English,Japan
tt0211938,Bait,action,5.7,13418,2000,9,119,"['Jamie Foxx', 'David Morse', 'Robert Pastorelli']",Antoine Fuqua,15471969,English,Canada
tt0181875,Almost Famous,adventure,7.9,302359,2000,9,122,"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson']",Cameron Crowe,47387566,English,United States
tt0130623,Dinosaur,adventure,6.4,69828,2000,5,82,"['D.B. Sweeney', 'Julianna Margulies', 'Samuel E. Wright']",Eric Leighton,349822765,English,United States
tt0205461,Thomas and the Magic Railroad,adventure,4.2,4986,2000,7,85,"['Alec Baldwin', 'Cody McMains', 'Russell Means']",Britt Allcroft,19748009,English,United Kingdom
tt0167203,I Dreamed of Africa,adventure,5.6,5011,2000,5,114,"['Kim Basinger', 'Vincent Perez', 'Liam Aiken']",Hugh Hudson,14400327,English,United States
tt0220099,The Tigger Movie,adventure,6.3,20964,2000,2,77,"['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom']",Jun Falkenstein,96159800,English,Japan
tt0144608,Sinbad: Beyond the Veil of Mists,adventure,4.4,731,2000,2,82,"['Brendan Fraser', 'Leonard Nimoy', 'Jennifer Hale']",Alan Jacobs,29245,English,India
tt1068773,Meitantei Conan: Hitomi no naka no ansatsusha,animation,7.5,3342,2000,4,100,"['Minami Takayama', 'Wakana Yamazaki', 'Kappei Yamaguchi']",Kenji Kodama,23211413,English,Japan
tt0163080,The Magic Pudding,animation,5.8,555,2000,12,80,"['Sam Neill', 'Hugo Weaving', 'John Cleese']",Karl Zwicky,368626,English,Australia
tt0208870,"Cóndor Crux, la leyenda",animation,4.1,159,2000,1,88,"['Damián de Santo', 'Arturo Maly', 'Pepe Soriano']",Juan Pablo Buscarini,5659,Spanish,Spain
tt0175142,Scary Movie,comedy,6.3,300818,2000,7,88,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans']",Keenen Ivory Wayans,278019771,English,United States
