imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt4154796,Avengers: Endgame,"Action, Adventure, Sci-Fi",action,8.4,78.0,1340827,2019,4,10860.0,,,,
tt8367814,The Gentlemen,"Action, Crime",action,7.8,51.0,429708,2019,1,6780.0,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery']",Guy Ritchie,"$22,000,000 (estimated)","$115,175,729"
tt10627720,Nezha: Mo tong jiang shi,"Animation, Action, Adventure",action,7.4,54.0,11829,2019,7,6600.0,,,,
tt7798634,Ready or Not,"Action, Comedy, Horror",action,6.8,64.0,211534,2019,8,5700.0,,,,
tt8579674,1917,"Action, Drama, War",action,8.2,78.0,720572,2019,1,7140.0,,,,
tt1950186,Ford v Ferrari,"Action, Biography, Drama",action,8.1,81.0,515680,2019,11,9120.0,,,,
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy",action,6.4,53.0,513497,2019,12,8460.0,,,,
tt4139588,Polar,"Action, Crime, Thriller",action,6.3,19.0,102730,2019,1,7080.0,,,,
tt10208198,Akinjeon,"Action, Crime, Thriller",action,7.0,65.0,28026,2019,5,6540.0,,,,
tt2274648,Hellboy,"Action, Adventure, Fantasy",action,5.3,31.0,103903,2019,4,7200.0,,,,
tt6450804,Terminator: Dark Fate,"Action, Adventure, Sci-Fi",action,6.2,54.0,202621,2019,10,7680.0,,,,
tt0437086,Alita: Battle Angel,"Action, Adventure, Sci-Fi",action,7.3,53.0,309596,2019,2,7320.0,,,,
tt6924650,Midway,"Action, Drama, History",action,6.7,47.0,99726,2019,11,8280.0,,,,
tt4154664,Captain Marvel,"Action, Adventure, Sci-Fi",action,6.8,64.0,632992,2019,3,7380.0,,,,
tt6146586,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",action,7.4,73.0,448905,2019,5,7800.0,,,,
tt6320628,Spider-Man: Far from Home,"Action, Adventure, Comedy",action,7.4,69.0,590532,2019,7,7740.0,,,,
tt1488606,Triple Frontier,"Action, Thriller",action,6.5,61.0,152888,2019,3,7500.0,,,,
tt7456310,Anna,"Action, Thriller",action,6.7,40.0,101680,2019,6,7080.0,"['Sasha Luss', 'Helen Mirren', 'Luke Evans']",Luc Besson,"€30,690,000 (estimated)","$31,626,978"
tt7975244,Jumanji: The Next Level,"Action, Adventure, Comedy",action,6.6,58.0,300490,2019,12,7380.0,,,,
tt2386490,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",action,7.4,71.0,161961,2019,2,6240.0,,,,
tt0448115,Shazam!,"Action, Adventure, Comedy",action,7.0,71.0,398062,2019,4,7920.0,,,,
tt6806448,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller",action,6.5,60.0,246542,2019,8,8220.0,,,,
tt1560220,Zombieland: Double Tap,"Action, Comedy, Horror",action,6.7,55.0,214083,2019,10,5940.0,,,,
tt5033998,Charlie's Angels,"Action, Adventure, Comedy",action,5.0,52.0,82439,2019,11,7080.0,,,,
tt4648786,Harriet,"Action, Biography, Drama",action,6.7,66.0,33092,2019,11,7500.0,,,,
tt2283336,Men in Black: International,"Action, Adventure, Comedy",action,5.6,38.0,153319,2019,6,6840.0,"['Chris Hemsworth', 'Tessa Thompson', 'Kumail Nanjiani']",F. Gary Gray,"$110,000,000 (estimated)","$253,890,701"
tt8364368,Crawl,"Action, Horror, Thriller",action,6.1,60.0,98367,2019,7,5220.0,,,,
tt8106534,6 Underground,"Action, Thriller",action,6.1,41.0,204111,2019,12,7680.0,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo']",Michael Bay,"$150,000,000 (estimated)",
tt3741700,Godzilla: King of the Monsters,"Action, Adventure, Fantasy",action,6.0,48.0,218292,2019,5,7920.0,,,,
tt5886046,Escape Room,"Action, Adventure, Horror",action,6.4,48.0,150142,2019,1,5940.0,,,,
tt6565702,X-Men: Dark Phoenix,"Action, Adventure, Sci-Fi",action,5.7,43.0,216739,2019,6,6780.0,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Simon Kinberg,"$200,000,000 (estimated)","$252,442,974"
tt7390646,Black and Blue,"Action, Thriller",action,6.4,54.0,28118,2019,10,6480.0,,,,
tt6189022,Angel Has Fallen,"Action, Thriller",action,6.4,45.0,116415,2019,8,7260.0,,,,
tt1206885,Rambo: Last Blood,"Action, Crime, Thriller",action,6.1,26.0,114543,2019,9,5340.0,,,,
tt7547410,Dora and the Lost City of Gold,"Action, Adventure, Comedy",action,6.1,63.0,36768,2019,8,6120.0,"['Isabela Merced', 'Eugenio Derbez', 'Michael Peña']",James Bobin,"$49,000,000 (estimated)","$120,597,108"
tt5719748,Cold Pursuit,"Action, Comedy, Crime",action,6.2,57.0,81536,2019,2,7140.0,,,,
tt6902676,Guns Akimbo,"Action, Comedy, Crime",action,6.3,42.0,73471,2019,2,5880.0,,,,
tt6095472,The Angry Birds Movie 2,"Animation, Action, Adventure",action,6.4,60.0,38308,2019,8,5820.0,,,,
tt8110640,In the Shadow of the Moon,"Action, Crime, Mystery",action,6.2,48.0,63901,2019,9,6900.0,,,,
tt6259380,Code 8,"Action, Crime, Drama",action,6.1,48.0,55795,2019,12,5880.0,,,,
tt8664988,Avanpost,"Action, Sci-Fi, Thriller",action,6.0,,11250,2019,11,7620.0,,,,
tt1833116,The Informer,"Action, Crime, Drama",action,6.6,61.0,44210,2019,8,6780.0,,,,
tt3833480,The Outpost,"Action, Drama, History",action,6.8,71.0,45129,2019,7,7380.0,"['Scott Eastwood', 'Caleb Landry Jones', 'Orlando Bloom']",Rod Lurie,"$18,000,000 (estimated)","$2,327,336"
