imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt1392170,The Hunger Games,"Action, Adventure, Sci-Fi",action,7.2,68,1035378,2012,3,8520
tt0790724,Jack Reacher,"Action, Thriller",action,7.0,50,377421,2012,12,7800
tt1345836,The Dark Knight Rises,"Action, Drama, Thriller",action,8.4,78,1900364,2012,7,9840
tt1232829,21 Jump Street,"Action, Comedy, Crime",action,7.2,69,619361,2012,3,6540
tt0848228,The Avengers,"Action, Sci-Fi",action,8.0,69,1500129,2012,5,8580
tt1855199,End of Watch,"Action, Crime, Drama",action,7.6,68,279246,2012,9,6540
tt1409024,Men in Black³,"Action, Adventure, Comedy",action,6.8,58,398847,2012,5,6360
tt0948470,The Amazing Spider-Man,"Action, Sci-Fi",action,6.9,66,728274,2012,7,8160
tt1074638,Skyfall,"Action, Adventure, Thriller",action,7.8,81,747911,2012,10,8580
tt1343727,Dredd,"Action, Crime, Sci-Fi",action,7.1,60,303374,2012,9,5700
tt1217209,Brave,"Animation, Action, Adventure",action,7.1,69,459235,2012,6,5580
tt1735898,Snow White and the Huntsman,"Action, Adventure, Drama",action,6.1,57,308391,2012,5,7620
tt1440129,Battleship,"Action, Adventure, Sci-Fi",action,5.8,41,262449,2012,4,7860
tt1276104,Looper,"Action, Drama, Sci-Fi",action,7.4,84,615248,2012,9,7140
tt0401729,John Carter,"Action, Adventure, Sci-Fi",action,6.6,51,292137,2012,3,7920
tt1386703,Total Recall,"Action, Adventure, Sci-Fi",action,6.2,43,271143,2012,8,7080
tt1656190,Safe,"Action, Crime, Thriller",action,6.5,55,121216,2012,4,5640
tt1194173,The Bourne Legacy,"Action, Adventure, Thriller",action,6.6,61,321249,2012,8,8100
tt1397514,Journey 2: The Mysterious Island,"Action, Adventure, Comedy",action,5.7,41,115818,2012,2,5640
tt1596350,This Means War,"Action, Comedy, Romance",action,6.3,31,197050,2012,2,6180
tt1855325,Resident Evil: Retribution,"Action, Horror, Sci-Fi",action,5.3,39,154161,2012,9,5700
tt1764651,The Expendables 2,"Action, Adventure, Thriller",action,6.6,51,327805,2012,8,6180
tt0857190,The Sweeney,"Action, Crime, Drama",action,6.1,48,20781,2012,9,6720
tt1034314,Iron Sky,"Action, Adventure, Comedy",action,5.9,N/A,97424,2012,4,5580
